Date,PE_Ratio,Year
1-Jan-15,19.82,2015
1-Jan-14,18.15,2014
1-Jan-13,17.03,2013
1-Jan-12,14.87,2012
1-Jan-11,16.3,2011
1-Jan-10,20.7,2010
1-Jan-09,70.91,2009
1-Jan-08,21.46,2008
1-Jan-07,17.36,2007
1-Jan-06,18.07,2006
1-Jan-05,19.99,2005
1-Jan-04,22.73,2004
1-Jan-03,31.43,2003
1-Jan-02,46.17,2002
1-Jan-01,27.55,2001
1-Jan-00,29.04,2000
1-Jan-99,32.92,1999
1-Jan-98,24.29,1998
1-Jan-97,19.53,1997
1-Jan-96,18.08,1996
1-Jan-95,14.89,1995
1-Jan-94,21.34,1994
1-Jan-93,22.5,1993
1-Jan-92,25.93,1992
1-Jan-91,15.35,1991
1-Jan-90,15.13,1990
1-Jan-89,11.82,1989
1-Jan-88,14.03,1988
1-Jan-87,18.01,1987
1-Jan-86,14.28,1986
1-Jan-85,10.36,1985
1-Jan-84,11.52,1984
1-Jan-83,11.48,1983
1-Jan-82,7.73,1982
1-Jan-81,9.02,1981
1-Jan-80,7.39,1980
1-Jan-79,7.88,1979
1-Jan-78,8.28,1978
1-Jan-77,10.41,1977
1-Jan-76,11.83,1976
1-Jan-75,8.3,1975
1-Jan-74,11.68,1974
1-Jan-73,18.08,1973
1-Jan-72,18,1972
1-Jan-71,18.12,1971
1-Jan-70,15.76,1970
1-Jan-69,17.65,1969
1-Jan-68,17.7,1968
1-Jan-67,15.3,1967
1-Jan-66,17.81,1966
1-Jan-65,18.76,1965
1-Jan-64,18.78,1964
1-Jan-63,17.68,1963
1-Jan-62,21.25,1962
1-Jan-61,18.6,1961
1-Jan-60,17.12,1960
1-Jan-59,18.79,1959
1-Jan-58,12.5,1958
1-Jan-57,13.32,1957
1-Jan-56,12.13,1956
1-Jan-55,12.58,1955
1-Jan-54,10.1,1954
1-Jan-53,10.86,1953
1-Jan-52,9.95,1952
1-Jan-51,7.47,1951
1-Jan-50,7.21,1950
