Year,Schiller_PE
2015,26.49
2014,24.86
2013,21.9
2012,21.21
2011,22.98
2010,20.53
2009,15.17
2008,24.02
2007,27.21
2006,26.47
2005,26.59
2004,27.66
2003,22.9
2002,30.28
2001,36.98
2000,43.77
1999,40.57
1998,32.86
1997,28.33
1996,24.76
1995,20.22
1994,21.41
1993,20.32
1992,19.77
1991,15.61
1990,17.05
1989,15.09
1988,13.9
1987,14.92
1986,11.72
1985,10
1984,9.89
1983,8.76
1982,7.39
1981,9.26
1980,8.85
1979,9.26
1978,9.24
1977,11.44
1976,11.19
1975,8.92
1974,13.53
1973,18.71
1972,17.26
1971,16.46
1970,17.09
1969,21.19
1968,21.51
1967,20.43
1966,24.06
1965,23.27
1964,21.63
1963,19.26
1962,21.2
1961,18.47
1960,18.34
1959,17.98
1958,13.79
1957,16.72
1956,18.29
1955,15.99
1954,12
1953,13.01
1952,12.53
1951,11.9
1950,10.75
