"Country","Variable","Sex","Variant","Year","Age","Value"
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 0-4",17237
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 0-4",8812
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 0-4",8425
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 5-9",13785
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 5-9",7044
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 5-9",6741
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 10-14",11574
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 10-14",5890
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 10-14",5684
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 15-19",11217
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 15-19",5668
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 15-19",5549
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 20-24",12250
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 20-24",6105
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 20-24",6145
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 25-29",12872
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 25-29",6407
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 25-29",6465
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 30-34",12143
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 30-34",6045
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 30-34",6099
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 35-39",11563
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 35-39",5751
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 35-39",5812
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 40-44",10682
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 40-44",5328
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 40-44",5354
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 45-49",8491
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 45-49",4325
